ALT_GEO_CODE,C1_COUNT_TOTAL
"10001","87191"
"10002","71898"
"10003","74201"
"10004","26655"
"10005","81716"
"10006","87345"
"10007","81544"
"11001","39866"
"11002","38809"
"11003","35925"
"11004","39731"
"12001","71380"
"12002","73188"
"12003","82014"
"12004","96165"
"12005","107010"
"12006","111944"
"12007","87744"
"12008","89524"
"12009","94482"
"12010","72361"
"12011","83571"
"13001","77594"
"13002","88797"
"13003","87436"
"13004","83721"
"13005","60184"
"13006","57520"
"13007","101237"
"13008","67781"
"13009","81996"
"13010","69344"
"24001","89087"
"24002","103735"
"24003","118170"
"24004","102020"
"24005","102311"
"24006","70253"
"24007","111034"
"24008","96064"
"24009","96439"
"24010","120179"
"24011","125359"
"24012","105280"
"24013","106013"
"24014","103020"
"24015","105637"
"24016","113913"
"24017","114286"
"24018","85556"
"24019","109690"
"24020","95736"
"24021","105111"
"24022","80593"
"24023","111088"
"24024","119395"
"24025","107967"
"24026","75927"
"24027","107286"
"24028","108264"
"24029","104578"
"24030","110881"
"24031","112418"
"24032","91073"
"24033","110486"
"24034","114968"
"24035","103886"
"24036","110093"
"24037","107564"
"24038","123796"
"24039","116932"
"24040","111784"
"24041","112257"
"24042","118608"
"24043","115082"
"24044","111322"
"24045","123123"
"24046","88525"
"24047","88894"
"24048","132930"
"24049","100515"
"24050","118746"
"24051","96724"
"24052","108494"
"24053","105601"
"24054","103620"
"24055","110813"
"24056","109497"
"24057","129781"
"24058","123243"
"24059","98772"
"24060","119204"
"24061","110651"
"24062","105589"
"24063","122654"
"24064","112909"
"24065","104636"
"24066","105086"
"24067","114617"
"24068","102104"
"24069","115553"
"24070","111997"
"24071","119351"
"24072","115924"
"24073","119038"
"24074","129612"
"24075","119944"
"24076","114064"
"24077","134555"
"24078","119926"
"35001","126666"
"35002","80310"
"35003","118883"
"35004","120378"
"35005","106871"
"35006","116016"
"35007","109359"
"35008","104557"
"35009","131677"
"35010","125141"
"35011","132752"
"35012","162353"
"35013","140139"
"35014","113348"
"35015","125435"
"35016","121301"
"35017","113654"
"35018","105946"
"35019","95039"
"35020","113663"
"35021","101959"
"35022","142838"
"35023","150235"
"35024","115832"
"35025","126428"
"35026","134656"
"35027","118483"
"35028","141751"
"35029","116003"
"35030","125692"
"35031","116463"
"35032","143740"
"35033","116706"
"35034","122401"
"35035","106439"
"35036","112028"
"35037","107629"
"35038","117565"
"35039","100636"
"35040","112929"
"35041","116651"
"35042","64261"
"35043","147695"
"35044","126106"
"35045","113452"
"35046","107134"
"35047","119851"
"35048","111242"
"35049","111424"
"35050","104070"
"35051","127068"
"35052","138255"
"35053","139305"
"35054","135944"
"35055","97510"
"35056","128308"
"35057","136993"
"35058","127377"
"35059","116346"
"35060","123371"
"35061","117095"
"35062","116908"
"35063","116864"
"35064","132769"
"35065","127134"
"35066","119809"
"35067","146404"
"35068","96946"
"35069","94947"
"35070","89781"
"35071","118756"
"35072","122322"
"35073","148936"
"35074","131067"
"35075","126360"
"35076","139309"
"35077","125090"
"35078","118806"
"35079","116409"
"35080","124790"
"35081","106750"
"35082","104494"
"35083","113910"
"35084","125478"
"35085","120742"
"35086","107420"
"35087","114180"
"35088","131375"
"35089","114782"
"35090","116953"
"35091","107077"
"35092","79331"
"35093","104423"
"35094","113104"
"35095","103449"
"35096","94717"
"35097","102254"
"35098","111994"
"35099","151784"
"35100","120656"
"35101","136213"
"35102","104493"
"35103","95537"
"35104","115292"
"35105","82357"
"35106","83325"
"35107","80785"
"35108","119901"
"35109","105472"
"35110","106216"
"35111","106810"
"35112","127235"
"35113","127873"
"35114","138501"
"35115","118218"
"35116","122798"
"35117","130162"
"35118","108307"
"35119","124458"
"35120","116757"
"35121","111593"
"46001","89812"
"46002","84767"
"46003","81258"
"46004","89503"
"46005","101691"
"46006","91480"
"46007","100417"
"46008","109445"
"46009","95514"
"46010","101373"
"46011","87499"
"46012","101221"
"46013","113370"
"46014","94803"
"47001","70918"
"47002","68314"
"47003","71488"
"47004","83395"
"47005","80547"
"47006","80845"
"47007","98492"
"47008","78140"
"47009","89087"
"47010","93277"
"47011","88348"
"47012","87855"
"47013","70579"
"47014","71220"
"48001","155580"
"48002","107979"
"48003","119458"
"48004","130010"
"48005","124064"
"48006","107939"
"48007","109141"
"48008","129110"
"48009","115287"
"48010","145326"
"48011","163447"
"48012","122818"
"48013","159642"
"48014","109125"
"48015","111699"
"48016","132224"
"48017","125992"
"48018","124144"
"48019","102188"
"48020","134194"
"48021","209431"
"48022","115118"
"48023","110163"
"48024","119586"
"48025","105993"
"48026","123847"
"48027","108391"
"48028","107223"
"48029","120739"
"48030","131575"
"48031","130822"
"48032","126313"
"48033","124849"
"48034","99218"
"59001","110331"
"59002","108794"
"59003","120305"
"59004","111226"
"59005","122340"
"59006","112037"
"59007","130665"
"59008","132004"
"59009","125116"
"59010","124247"
"59011","110721"
"59012","124987"
"59013","135492"
"59014","136290"
"59015","120759"
"59016","133168"
"59017","101216"
"59018","134509"
"59019","125253"
"59020","136520"
"59021","123025"
"59022","110416"
"59023","114853"
"59024","108998"
"59025","107707"
"59026","128644"
"59027","113541"
"59028","89689"
"59029","123487"
"59030","119672"
"59031","102230"
"59032","131670"
"59033","122264"
"59034","126995"
"59035","118675"
"59036","109799"
"59037","111825"
"59038","108054"
"59039","109328"
"59040","109339"
"59041","123482"
"59042","131206"
"60001","40232"
"61001","41070"
"62001","36858"
